Data;INCC-DI - geral - índice (ago. 1994 = 100) - - - Fundação Getulio Vargas, Conjuntura Econômica - IGP (FGV/Conj. Econ. - IGP) - IGP12_INCC12;
1962.07;2,049444E-12;
1962.08;2,105303E-12;
1962.09;2,134195E-12;
1962.10;2,286367E-12;
1962.11;2,594256E-12;
1962.12;2,842279E-12;
1963.01;3,586345E-12;
1963.02;3,680423E-12;
1963.03;3,697528E-12;
1963.04;3,751694E-12;
1963.05;3,811561E-12;
1963.06;3,857174E-12;
1963.07;3,948401E-12;
1963.08;3,971208E-12;
1963.09;4,182169E-12;
1963.10;4,350368E-12;
1963.11;4,567031E-12;
1963.12;4,669661E-12;
1964.01;5,559121E-12;
1964.02;5,733021E-12;
1964.03;6,402967E-12;
1964.04;6,579718E-12;
1964.05;6,819188E-12;
1964.06;6,970282E-12;
1964.07;7,449222E-12;
1964.08;7,631675E-12;
1964.09;7,873995E-12;
1964.10;8,236051E-12;
1964.11;8,823322E-12;
1964.12;9,527477E-12;
1965.01;1,010904E-11;
1965.02;1,051386E-11;
1965.03;1,187086E-11;
1965.04;1,224431E-11;
1965.05;1,238686E-11;
1965.06;1,241251E-11;
1965.07;1,280308E-11;
1965.08;1,284299E-11;
1965.09;1,308531E-11;
1965.10;1,332478E-11;
1965.11;1,354144E-11;
1965.12;1,365833E-11;
1966.01;1,435963E-11;
1966.02;1,499252E-11;
1966.03;1,577649E-11;
1966.04;1,643504E-11;
1966.05;1,6646E-11;
1966.06;1,676003E-11;
1966.07;1,730739E-11;
1966.08;1,775212E-11;
1966.09;1,807712E-11;
1966.10;1,821396E-11;
1966.11;1,83622E-11;
1966.12;1,851614E-11;
1967.01;1,983893E-11;
1967.02;2,083102E-11;
1967.03;2,228779E-11;
1967.04;2,341102E-11;
1967.05;2,373887E-11;
1967.06;2,413228E-11;
1967.07;2,43575E-11;
1967.08;2,483073E-11;
1967.09;2,531538E-11;
1967.10;2,560616E-11;
1967.11;2,597392E-11;
1967.12;2,607085E-11;
1968.01;2,695175E-11;
1968.02;2,777564E-11;
1968.03;2,857102E-11;
1968.04;3,032429E-11;
1968.05;3,107976E-11;
1968.06;3,222864E-11;
1968.07;3,249377E-11;
1968.08;3,292424E-11;
1968.09;3,334332E-11;
1968.10;3,394199E-11;
1968.11;3,440097E-11;
1968.12;3,44922E-11;
1969.01;3,435251E-11;
1969.02;3,545293E-11;
1969.03;3,580643E-11;
1969.04;3,603735E-11;
1969.05;3,702659E-11;
1969.06;3,728031E-11;
1969.07;3,787899E-11;
1969.08;3,797021E-11;
1969.09;3,831231E-11;
1969.10;3,848052E-11;
1969.11;3,865785E-11;
1969.12;3,883518E-11;
1970.01;3,918984E-11;
1970.02;3,972183E-11;
1970.03;4,078581E-11;
1970.04;4,202711E-11;
1970.05;4,326842E-11;
1970.06;4,380041E-11;
1970.07;4,43324E-11;
1970.08;4,468706E-11;
1970.09;4,539638E-11;
1970.10;4,557371E-11;
1970.11;4,575104E-11;
1970.12;4,61057E-11;
1971.01;4,663768E-11;
1971.02;4,752433E-11;
1971.03;4,805632E-11;
1971.04;4,894297E-11;
1971.05;4,982962E-11;
1971.06;5,036161E-11;
1971.07;5,08936E-11;
1971.08;5,124825E-11;
1971.09;5,160291E-11;
1971.10;5,178024E-11;
1971.11;5,195757E-11;
1971.12;5,195758E-11;
1972.01;5,231224E-11;
1972.02;5,26669E-11;
1972.03;5,461752E-11;
1972.04;5,674548E-11;
1972.05;5,922809E-11;
1972.06;5,940542E-11;
1972.07;6,011474E-11;
1972.08;6,100139E-11;
1972.09;6,153338E-11;
1972.10;6,171071E-11;
1972.11;6,188804E-11;
1972.12;6,224269E-11;
1973.01;6,330667E-11;
1973.02;6,401599E-11;
1973.03;6,52573E-11;
1973.04;6,773991E-11;
1973.05;6,933588E-11;
1973.06;7,00452E-11;
1973.07;7,075452E-11;
1973.08;7,146383E-11;
1973.09;7,217315E-11;
1973.10;7,359179E-11;
1973.11;7,447844E-11;
1973.12;7,518776E-11;
1974.01;7,713821E-11;
1974.02;7,921323E-11;
1974.03;8,241344E-11;
1974.04;8,576767E-11;
1974.05;8,94128E-11;
1974.06;9,298931E-11;
1974.07;9,398429E-11;
1974.08;9,477376E-11;
1974.09;9,558882E-11;
1974.10;9,637265E-11;
1974.11;9,776042E-11;
1974.12;9,91975E-11;
1975.01;1,011814E-10;
1975.02;1,030431E-10;
1975.03;1,07E-10;
1975.04;1,093861E-10;
1975.05;1,123614E-10;
1975.06;1,134962E-10;
1975.07;1,152122E-10;
1975.08;1,159726E-10;
1975.09;1,173991E-10;
1975.10;1,184322E-10;
1975.11;1,210377E-10;
1975.12;1,230953E-10;
1976.01;1,258403E-10;
1976.02;1,305468E-10;
1976.03;1,374527E-10;
1976.04;1,455074E-10;
1976.05;1,533794E-10;
1976.06;1,611404E-10;
1976.07;1,691652E-10;
1976.08;1,760164E-10;
1976.09;1,830042E-10;
1976.10;1,874512E-10;
1976.11;1,929248E-10;
1976.12;1,952399E-10;
1977.01;2,023857E-10;
1977.02;2,12588E-10;
1977.03;2,193271E-10;
1977.04;2,302385E-10;
1977.05;2,419623E-10;
1977.06;2,47029E-10;
1977.07;2,518559E-10;
1977.08;2,560946E-10;
1977.09;2,607759E-10;
1977.10;2,73181E-10;
1977.11;2,785518E-10;
1977.12;2,82524E-10;
1978.01;2,877676E-10;
1978.02;2,933187E-10;
1978.03;3,061931E-10;
1978.04;3,221518E-10;
1978.05;3,288107E-10;
1978.06;3,368732E-10;
1978.07;3,441834E-10;
1978.08;3,527605E-10;
1978.09;3,642181E-10;
1978.10;3,714769E-10;
1978.11;3,807304E-10;
1978.12;3,870201E-10;
1979.01;3,962621E-10;
1979.02;4,065967E-10;
1979.03;4,396978E-10;
1979.04;4,555885E-10;
1979.05;4,751422E-10;
1979.06;4,918483E-10;
1979.07;5,003426E-10;
1979.08;5,187802E-10;
1979.09;5,72023E-10;
1979.10;5,8613E-10;
1979.11;6,087145E-10;
1979.12;6,310723E-10;
1980.01;6,607522E-10;
1980.02;7,236892E-10;
1980.03;8,163282E-10;
1980.04;8,419036E-10;
1980.05;8,828548E-10;
1980.06;9,334858E-10;
1980.07;9,925942E-10;
1980.08;1,094622E-09;
1980.09;1,182444E-09;
1980.10;1,219101E-09;
1980.11;1,280728E-09;
1980.12;1,344483E-09;
1981.01;1,404756E-09;
1981.02;1,61391E-09;
1981.03;1,744039E-09;
1981.04;1,803145E-09;
1981.05;1,86622E-09;
1981.06;1,910113E-09;
1981.07;1,94755E-09;
1981.08;2,188929E-09;
1981.09;2,310129E-09;
1981.10;2,349886E-09;
1981.11;2,426962E-09;
1981.12;2,502463E-09;
1982.01;2,597608E-09;
1982.02;2,879891E-09;
1982.03;3,241228E-09;
1982.04;3,379856E-09;
1982.05;3,557467E-09;
1982.06;3,687919E-09;
1982.07;3,890608E-09;
1982.08;4,549717E-09;
1982.09;4,732662E-09;
1982.10;4,885858E-09;
1982.11;5,084078E-09;
1982.12;5,204773E-09;
1983.01;5,405937E-09;
1983.02;6,089897E-09;
1983.03;6,594689E-09;
1983.04;6,863421E-09;
1983.05;7,355116E-09;
1983.06;7,726843E-09;
1983.07;8,240523E-09;
1983.08;9,630452E-09;
1983.09;1,048842E-08;
1983.10;1,101924E-08;
1983.11;1,234728E-08;
1983.12;1,295749E-08;
1984.01;1,372768E-08;
1984.02;1,67022E-08;
1984.03;1,826619E-08;
1984.04;1,90626E-08;
1984.05;2,058646E-08;
1984.06;2,242504E-08;
1984.07;2,36037E-08;
1984.08;3,012116E-08;
1984.09;3,180824E-08;
1984.10;3,455711E-08;
1984.11;3,754319E-08;
1984.12;4,060822E-08;
1985.01;4,366602E-08;
1985.02;4,936444E-08;
1985.03;5,50838E-08;
1985.04;5,993007E-08;
1985.05;7,3364E-08;
1985.06;7,804022E-08;
1985.07;8,568582E-08;
1985.08;9,693551E-08;
1985.09;1,062587E-07;
1985.10;1,134259E-07;
1985.11;1,372226E-07;
1985.12;1,557601E-07;
1986.01;1,775026E-07;
1986.02;1,98968E-07;
1986.03;2,209582E-07;
1986.04;2,202291E-07;
1986.05;2,207373E-07;
1986.06;2,233667E-07;
1986.07;2,257751E-07;
1986.08;2,318515E-07;
1986.09;2,410654E-07;
1986.10;2,501247E-07;
1986.11;2,630287E-07;
1986.12;2,823404E-07;
1987.01;3,218698E-07;
1987.02;4,263168E-07;
1987.03;5,226325E-07;
1987.04;5,919471E-07;
1987.05;7,108889E-07;
1987.06;8,597043E-07;
1987.07;9,260801E-07;
1987.08;9,56727E-07;
1987.09;1,028074E-06;
1987.10;1,131858E-06;
1987.11;1,280939E-06;
1987.12;1,458677E-06;
1988.01;1,712293E-06;
1988.02;1,982569E-06;
1988.03;2,368429E-06;
1988.04;2,771545E-06;
1988.05;3,426719E-06;
1988.06;4,118771E-06;
1988.07;4,930757E-06;
1988.08;6,009853E-06;
1988.09;7,534012E-06;
1988.10;1,01395E-05;
1988.11;1,325389E-05;
1988.12;1,6928E-05;
1989.01;2,234311E-05;
1989.02;2,545261E-05;
1989.03;2,685581E-05;
1989.04;2,849939E-05;
1989.05;3,390429E-05;
1989.06;4,402742E-05;
1989.07;6,226757E-05;
1989.08;8,90725E-05;
1989.09;0,0001243078;
1989.10;0,0001730638;
1989.11;0,0002447001;
1989.12;0,0003593127;
1990.01;0,000591716;
1990.02;0,00100741;
1990.03;0,00179728;
1990.04;0,00182721;
1990.05;0,00184532;
1990.06;0,00198229;
1990.07;0,00231279;
1990.08;0,00261605;
1990.09;0,00290048;
1990.10;0,00323335;
1990.11;0,00365525;
1990.12;0,00429512;
1991.01;0,00502668;
1991.02;0,00580574;
1991.03;0,00628952;
1991.04;0,00671512;
1991.05;0,00760065;
1991.06;0,00837457;
1991.07;0,00951417;
1991.08;0,010906;
1991.09;0,0132087;
1991.10;0,0162486;
1991.11;0,021037;
1991.12;0,0251836;
1992.01;0,0327067;
1992.02;0,0404336;
1992.03;0,0516612;
1992.04;0,0606585;
1992.05;0,0777764;
1992.06;0,0917995;
1992.07;0,113402;
1992.08;0,132999;
1992.09;0,178612;
1992.10;0,212386;
1992.11;0,274317;
1992.12;0,326004;
1993.01;0,4463;
1993.02;0,547133;
1993.03;0,725555;
1993.04;0,87995;
1993.05;1,23722;
1993.06;1,57287;
1993.07;2,10348;
1993.08;2,70134;
1993.09;3,78426;
1993.10;5,07217;
1993.11;7,01988;
1993.12;9,33575;
1994.01;13,6235;
1994.02;18,9554;
1994.03;29,5145;
1994.04;42,9737;
1994.05;62,571;
1994.06;90,5653;
1994.07;99,8582;
1994.08;100;
1994.09;100,381;
1994.10;101,71;
1994.11;104,11;
1994.12;105,487;
1995.01;109,176;
1995.02;111,453;
1995.03;115,129;
1995.04;117,774;
1995.05;128,098;
1995.06;132,09;
1995.07;133,524;
1995.08;134,353;
1995.09;135,318;
1995.10;136,484;
1995.11;137,478;
1995.12;138,664;
1996.01;140,766;
1996.02;140,926;
1996.03;142,313;
1996.04;142,663;
1996.05;145,742;
1996.06;147,984;
1996.07;149,095;
1996.08;149,445;
1996.09;149,772;
1996.10;150,157;
1996.11;151,035;
1996.12;151,922;
1997.01;152,408;
1997.02;153,147;
1997.03;154,26;
1997.04;154,616;
1997.05;155,953;
1997.06;157,687;
1997.07;158,485;
1997.08;160,352;
1997.09;160,78;
1997.10;161,024;
1997.11;161,897;
1997.12;162,271;
1998.01;162,805;
1998.02;164,361;
1998.03;164,361;
1998.04;163,535;
1998.05;165,133;
1998.06;165,781;
1998.07;166,345;
1998.08;166,705;
1998.09;166,729;
1998.10;166,738;
1998.11;166,657;
1998.12;166,733;
1999.01;167,648;
1999.02;169,288;
1999.03;170,221;
1999.04;171,1;
1999.05;172,578;
1999.06;173,279;
1999.07;174,074;
1999.08;175,28;
1999.09;176,785;
1999.10;178,574;
1999.11;180,207;
1999.12;182,084;
2000.01;184,039;
2000.02;185,461;
2000.03;186,492;
2000.04;187,604;
2000.05;190,136;
2000.06;191,527;
2000.07;192,104;
2000.08;192,846;
2000.09;193,342;
2000.10;193,984;
2000.11;194,789;
2000.12;196,037;
2001.01;197,174;
2001.02;197,849;
2001.03;198,388;
2001.04;199,112;
2001.05;203,321;
2001.06;205,682;
2001.07;206,742;
2001.08;208,026;
2001.09;209,174;
2001.10;211,122;
2001.11;212,676;
2001.12;213,393;
2002.01;214,162;
2002.02;215,399;
2002.03;216,577;
2002.04;217,288;
2002.05;222,793;
2002.06;224,054;
2002.07;224,712;
2002.08;226,968;
2002.09;228,576;
2002.10;231,167;
2002.11;236,83;
2002.12;240,861;
2003.01;244,489;
2003.02;247,898;
2003.03;251,318;
2003.04;253,585;
2003.05;260,778;
2003.06;263,516;
2003.07;266,132;
2003.08;269,967;
2003.09;270,555;
2003.10;272,325;
2003.11;275,152;
2003.12;275,594;
2004.01;276,49;
2004.02;279,243;
2004.03;282,47;
2004.04;284,128;
2004.05;289,317;
2004.06;291,348;
2004.07;294,625;
2004.08;297,003;
2004.09;298,722;
2004.10;302,275;
2004.11;304,429;
2004.12;305,974;
2005.01;308,284;
2005.02;309,646;
2005.03;311,733;
2005.04;313,977;
2005.05;320,524;
2005.06;322,974;
2005.07;323,332;
2005.08;323,382;
2005.09;324,164;
2005.10;324,782;
2005.11;325,703;
2005.12;326,915;
2006.01;328,042;
2006.02;328,651;
2006.03;329,32;
2006.04;330,501;
2006.05;334,867;
2006.06;337,892;
2006.07;339,484;
2006.08;340,283;
2006.09;340,67;
2006.10;341,369;
2006.11;342,159;
2006.12;343,401;
2007.01;344,943;
2007.02;345,682;
2007.03;346,617;
2007.04;348,194;
2007.05;352,204;
2007.06;355,456;
2007.07;356,545;
2007.08;357,467;
2007.09;359,276;
2007.10;361,102;
