Data;Indicador IPEA de FBCF - construção civil - índice real dessazonalizado (média 1995 = 100) - - - Instituto de Pesquisa Econômica Aplicada - GAC12_INDFBCFCCDESSAZ12;
2013.05;178,775253591917;
2013.06;181,399105445097;
2013.07;184,426970925041;
2013.08;185,375885250645;
2013.09;185,712820317074;
2013.10;184,055312013502;
2013.11;183,850064393302;
2013.12;179,92243203959;
2014.01;180,458038758056;
2014.02;181,232453334448;
2014.03;181,330912240199;
2014.04;180,977233680632;
2014.05;174,537400097652;
2014.06;164,909845436046;
2014.07;169,128327394061;
2014.08;170,608477963062;
2014.09;174,572314931446;
2014.10;174,744389706645;
2014.11;169,977030669957;
2014.12;168,873428148159;
2015.01;167,750381548704;
2015.02;163,968231832914;
2015.03;168,154612943267;
2015.04;159,082586651091;
2015.05;154,561841460207;
2015.06;153,404298300789;
2015.07;154,251994908045;
2015.08;153,624091153039;
2015.09;149,814211676288;
2015.10;155,339664332145;
2015.11;152,188370999283;
2015.12;147,540895930392;
2016.01;146,778359868877;
2016.02;148,074634089593;
2016.03;145,685975788728;
2016.04;143,654809698502;
2016.05;148,248786912865;
2016.06;143,731975462803;
2016.07;139,183456615322;
2016.08;136,751813425886;
2016.09;132,2001535064;
2016.10;126,675894047081;
2016.11;131,376769138239;
2016.12;131,852608512012;
2017.01;129,241982899107;
2017.02;133,241360205826;
2017.03;127,698030213374;
2017.04;126,393709729345;
2017.05;125,829306377604;
2017.06;127,851622912546;
2017.07;127,27546864181;
2017.08;126,556030553962;
2017.09;125,463046298326;
2017.10;124,223945033674;
2017.11;125,582739142803;
2017.12;131,434492463585;
2018.01;124,455443261277;
2018.02;127,487993864882;
2018.03;128,66484079012;
2018.04;128,513436958554;
2018.05;115,464498333454;
2018.06;126,631082073522;
2018.07;126,551648859591;
2018.08;124,669437126811;
2018.09;127,038617845169;
2018.10;124,389528544694;
2018.11;123,577272221463;
2018.12;129,644718678733;
2019.01;127,121825239728;
2019.02;128,670814352048;
2019.03;129,685874350403;
2019.04;132,431878759879;
2019.05;132,005064061461;
2019.06;131,727845055949;
2019.07;132,572598750646;
2019.08;132,594764440686;
2019.09;136,092881588671;
2019.10;131,406364821481;
2019.11;134,942598193094;
2019.12;130,641279797983;
2020.01;133,561598963729;
2020.02;135,457520623499;
2020.03;125,155317125336;
2020.04;101,163733571531;
2020.05;117,045070122902;
2020.06;126,762362634206;
2020.07;130,435348572424;
2020.08;137,468028236903;
2020.09;144,380687619243;
2020.10;141,21048331749;
2020.11;143,892735449884;
2020.12;150,59145017272;
2021.01;145,434739916781;
2021.02;145,437418537377;
2021.03;148,678661837474;
2021.04;146,688719508368;
2021.05;146,263874030382;
2021.06;151,204409478961;
2021.07;151,010471324986;
2021.08;148,258543584069;
2021.09;148,48270061364;
2021.10;149,622508186756;
2021.11;148,550926640834;
2021.12;149,921700678797;
2022.01;153,909362638231;
2022.02;154,859529742805;
2022.03;153,392722784079;
2022.04;159,889453446016;
2022.05;160,239646712989;
2022.06;157,54764207764;
2022.07;158,263343808837;
2022.08;157,093174382983;
2022.09;156,30749254801;
2022.10;161,275695087237;
2022.11;158,191361144972;
2022.12;155,752499744431;
2023.01;153,998035040745;
2023.02;156,855939705994;
2023.03;158,128185280926;
2023.04;157,551073567239;
2023.05;162,956330301845;
2023.06;156,374242869012;
2023.07;156,356728553664;
2023.08;156,6116216973;
2023.09;154,613215273313;
2023.10;156,933419256226;
2023.11;154,828649455958;
2023.12;156,967785719698;
2024.01;161,362962895645;
2024.02;157,768721178634;
2024.03;159,187304384975;
